,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LRRFIP1,7.35687008010975e-35,-0.279125080637985,0.504,0.552,2.53444174259781e-30
GBP5,8.56791257763377e-35,-0.323817271921659,0.267,0.32,2.95164588299483e-30
ADGRE5,1.51327338073476e-34,-0.313862283935623,0.502,0.541,5.21322679663124e-30
ACAA2,2.76119470808377e-34,0.294193136512388,0.268,0.212,9.51231576934859e-30
CSNK1A1,4.34835335629577e-34,-0.343817481951773,0.362,0.408,1.49800773124389e-29
CLK1,9.92318441388326e-34,-0.278146896645524,0.363,0.415,3.41853703058278e-29
SPTAN1,1.19458496477064e-33,-0.397314425211423,0.202,0.25,4.11534520363484e-29
LAT2,1.33223523872483e-33,0.342374607932284,0.25,0.198,4.58955039740705e-29
TMEM165,1.57326295054092e-33,-0.368032524455928,0.258,0.306,5.41989086461347e-29
ADRM1,3.61808699095432e-33,0.272247721437405,0.311,0.251,1.24643096838376e-28
DNAJC3,9.18263273596205e-33,-0.440803553480099,0.209,0.256,3.16341697753893e-28
PYCARD,2.08441062663854e-32,-0.347697044028967,0.338,0.382,7.18079460876978e-28
BRD4,2.46585681239087e-32,-0.431358948802245,0.22,0.266,8.49487671868656e-28
FNIP1,3.43407223677424e-32,-0.503044504880647,0.224,0.267,1.18303788556873e-27
GNAI3,4.56315889398925e-32,-0.405922780042956,0.256,0.3,1.5720082389793e-27
RPS6KA1,5.63102945755449e-32,0.292724866292239,0.303,0.25,1.93988964812752e-27
SASH3,1.14474512002683e-31,0.306545416416625,0.348,0.294,3.94364693849243e-27
NDUFA12,1.62701416515394e-31,-0.277033843895896,0.453,0.494,5.60506379895533e-27
PSMB8-AS1,1.65462971969118e-31,0.298407484666561,0.336,0.278,5.70019938433611e-27
ZFP36L1,1.8905859054067e-30,-0.268720599082662,0.339,0.391,6.51306844412607e-26
CDC40,4.85088669084765e-30,-0.424795043816634,0.217,0.26,1.67113046499701e-25
DNAJC15,5.60642851185543e-30,-0.409704086242096,0.244,0.286,1.9314146223342e-25
C16orf54,6.3929826727749e-30,0.487691888594993,0.256,0.21,2.20238253077095e-25
ZNF276,1.60681698068662e-29,0.3663810869488,0.252,0.206,5.5354844984654e-25
PSMD7,1.65516701520066e-29,-0.31371531431936,0.285,0.332,5.70205036736626e-25
