,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NDUFA5,2.78841577506458e-146,0.353745218590022,0.386,0.282,9.60609234509748e-142
PNKD,5.03496438109859e-146,0.495746479188666,0.258,0.169,1.73454522928846e-141
SCAF11,5.04461129318184e-146,-0.478998883296125,0.531,0.583,1.73786859050114e-141
JUN,7.31011845593335e-144,0.58364563828856,0.727,0.625,2.51833580806904e-139
SFSWAP,8.00007104595525e-144,-0.823897514775412,0.208,0.281,2.75602447533158e-139
TRIM44,8.16072003609829e-144,-0.959065657796403,0.194,0.262,2.81136805243586e-139
HNRNPA3,1.63713733259179e-143,-0.392705891356544,0.67,0.707,5.63993811077872e-139
COPS5,2.20427324283784e-143,0.43488218809764,0.272,0.182,7.59372132157635e-139
GPBP1,5.44560012269211e-143,-0.529177958718281,0.535,0.567,1.87600924226743e-138
STMP1,6.40839000391854e-143,0.344609845236223,0.362,0.262,2.20769035634994e-138
ACP1,8.69903385786532e-143,0.334457894103997,0.39,0.287,2.9968171640346e-138
ATP6AP2,1.35270135165248e-142,0.331239000586614,0.434,0.326,4.66005615644281e-138
CCDC12,2.7519766275798e-142,0.304236741303101,0.38,0.272,9.48055948201243e-138
RPN2,1.02658457281247e-141,0.342213326137148,0.381,0.278,3.53658385333895e-137
DSTN,1.68471320367438e-141,0.319012925487536,0.46,0.355,5.80383698665823e-137
MBTPS1,2.63265618637249e-140,-0.858455298179072,0.194,0.264,9.06950056205322e-136
ANXA7,3.4688234420533e-140,-0.649068937520326,0.355,0.416,1.19500967578736e-135
SYNRG,8.62399981107146e-140,-0.697762159247972,0.367,0.425,2.97096793491412e-135
GPR155,2.7265934133979e-139,-0.932188692915418,0.183,0.251,9.39311430915577e-135
TPST2,3.23417047057602e-139,0.448164722020362,0.282,0.193,1.11417172711344e-134
COTL1,3.98676552267463e-139,0.356194631497702,0.536,0.437,1.37344072256141e-134
CASP8,7.59482542183752e-139,-0.658052257082567,0.361,0.427,2.61641735782302e-134
MOB4,1.19119296847934e-137,-0.869671693652654,0.197,0.265,4.10365977641132e-133
CCT6A,1.27441969842126e-137,0.3255129725765,0.357,0.256,4.39037586106124e-133
CFAP97,4.38420663247963e-137,0.38469939557251,0.3,0.207,1.51035918488923e-132
VDAC2,2.41562673321469e-135,0.301345894160345,0.437,0.332,8.32183409592461e-131
MRPS15,6.20947249746813e-135,0.475656572293062,0.264,0.179,2.13916327537777e-130
NDUFAF8,1.35526064725091e-134,0.350787871549519,0.344,0.248,4.6688729297794e-130
S1PR4,6.66511017035749e-134,0.338506253186159,0.406,0.305,2.29613045368816e-129
GGNBP2,7.22257453774881e-134,-0.601584663937577,0.406,0.461,2.48817692825446e-129
SS18L2,4.74066443405599e-133,0.341817720707146,0.334,0.238,1.63315889753229e-128
RNF126,1.02955935903952e-132,0.406297846656271,0.311,0.219,3.54683199189116e-128
