,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CEP57,7.09398385987461e-98,-0.513788461365041,0.254,0.321,2.4438774397268e-93
MIA3,1.53987541569732e-97,-0.507321767279381,0.239,0.306,5.30487080707728e-93
FKBP11,2.12563456226076e-97,0.448436498495451,0.364,0.287,7.32281106698833e-93
SHOC2,2.31291240839404e-97,-0.605151184546018,0.234,0.298,7.96798324691747e-93
DARS,5.84894404640802e-97,-0.553223802707014,0.232,0.297,2.01496122398756e-92
BANF1,8.40891210397323e-97,0.341568148566763,0.391,0.305,2.89687021981878e-92
ARL2BP,6.56030148117469e-96,0.51003813316578,0.274,0.203,2.26002386026468e-91
CCDC69,1.29652909127266e-95,0.519310075097733,0.279,0.208,4.46654271943432e-91
KLF3,1.56207351822936e-95,0.392045835712325,0.445,0.37,5.38134327030015e-91
AURKAIP1,1.56961663616214e-95,0.355842644593285,0.435,0.352,5.40732931157858e-91
PSMA3,1.86626845320548e-95,-0.470675034627576,0.293,0.358,6.42929482129286e-91
PDIA6,1.87381912744068e-95,0.42862266211885,0.359,0.282,6.45530689403315e-91
RNPS1,2.80895915960756e-95,0.383022783531906,0.414,0.334,9.67686430484803e-91
SEC63,3.96031148667093e-95,-0.607716863920173,0.198,0.262,1.36432730715814e-90
OCIAD1,2.32835257205531e-94,-0.340252845156717,0.443,0.511,8.02117461073054e-90
MBTPS1,1.10983584993652e-93,-0.541843827568262,0.194,0.257,3.82338450303131e-89
LSM4,2.12211441629157e-93,0.385684973731712,0.385,0.307,7.31068416412445e-89
PRDX2,2.46444079275907e-93,0.287369130173742,0.575,0.505,8.48999853105499e-89
SVIP,2.46548055282149e-93,0.399134175749044,0.412,0.34,8.49358050447003e-89
DYNLT3,3.40578149857865e-92,-0.519577428936709,0.208,0.271,1.17329172626034e-87
TSNAX,1.19464257887416e-91,-0.525824452586552,0.216,0.279,4.11554368422148e-87
PRDX6,1.24975392440835e-91,0.313396005278738,0.491,0.416,4.30540226958675e-87
SRSF9,1.39230659773384e-91,-0.324672112333667,0.404,0.48,4.79649622919307e-87
SDHD,1.48309854245592e-91,0.352357121231457,0.294,0.213,5.10927447876064e-87
HNRNPM,1.84353993265029e-91,-0.267180418639734,0.603,0.653,6.35099506798025e-87
RAB5C,2.06814768116898e-91,0.415521652200405,0.362,0.286,7.12476876162714e-87
MED10,5.62139086345519e-91,0.326423492662386,0.481,0.401,1.93656915246031e-86
MRPS21,5.7413661733873e-91,0.323853967588978,0.495,0.422,1.97790064673192e-86
PFDN2,6.66793251015492e-91,-0.416223334518327,0.327,0.391,2.29710274974837e-86
EIF2AK2,7.43296017280957e-91,-0.524172492288905,0.214,0.279,2.5606547795329e-86
RNF181,1.93764186243578e-90,0.446185189896097,0.299,0.226,6.67517621609128e-86
NOSIP,4.81651105530864e-90,0.355057628979864,0.617,0.577,1.65928805855382e-85
SRP9,1.554084790549e-89,0.259461245725337,0.56,0.485,5.35382210344129e-85
TMEM167A,2.00694376798669e-89,-0.498591184261341,0.212,0.276,6.91392128071416e-85
TRIM44,2.22234818646526e-89,-0.619787678290029,0.194,0.254,7.65598950237282e-85
WASHC3,2.56073478983905e-89,-0.518426813982518,0.197,0.258,8.82173135099554e-85
REEP5,4.84947934422839e-89,0.375462691951094,0.363,0.285,1.67064563408668e-84
ARHGAP4,5.74850982290167e-89,0.477435143388515,0.293,0.222,1.98036163398963e-84
C16orf54,1.09729657271868e-88,0.485075322667281,0.332,0.26,3.78018669301585e-84
SRRM1,2.29880277370188e-88,0.253953016774557,0.675,0.618,7.91937555540298e-84
NDUFA6,2.35929646076726e-88,0.418972401327433,0.354,0.281,8.1277763073432e-84
ZBTB8OS,4.47015063398317e-88,-0.4626383300098,0.244,0.308,1.5399668934072e-83
PSMB6,8.82296215500493e-88,0.377433078783334,0.399,0.321,3.0395104623992e-83
SYNRG,3.64532476871511e-87,-0.467037305240971,0.367,0.426,1.25581438282235e-82
CCT6A,3.96358846578374e-87,0.391358097736658,0.357,0.281,1.3654562264625e-82
MRPL33,6.75261810123873e-87,0.311150054445519,0.448,0.368,2.32627693587674e-82
NBDY,9.7937293984614e-87,-0.475613233994822,0.3,0.362,3.37393977776995e-82
TLN1,1.20572549512878e-86,0.430430369300448,0.411,0.343,4.15372433071864e-82
CHMP4A,1.54392401805767e-86,0.355345126444812,0.446,0.373,5.31881824220868e-82
SUPT5H,1.71139857542132e-86,-0.492076938277059,0.211,0.275,5.89576809232644e-82
PRKAA1,1.85434923509333e-86,-0.535980996149424,0.199,0.26,6.38823311489652e-82
TNFRSF25,1.87192703962868e-86,0.550955958641901,0.254,0.188,6.44878865152079e-82
