,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NCK2,0,-2.7104516567144,0.218,0.627,0
DOCK8,0,-2.40185814596263,0.346,0.755,0
SMYD3,0,-5.04966604965422,0.044,0.452,0
AL050309.1,0,-14.2019278325865,0,0.408,0
DOCK2,0,-2.8062556544793,0.191,0.597,0
KMT2C,0,-2.77051448294773,0.191,0.597,0
P2RY8,0,-2.7410625304962,0.257,0.662,0
GAPDH,0,1.48282889637963,0.712,0.307,0
NDUFAF6,0,-4.04818492590592,0.066,0.467,0
JMJD1C,0,-2.51655573044763,0.395,0.796,0
RASA2,0,-2.93281887961063,0.158,0.558,0
TOMM6,0,-13.3299652226702,0,0.4,0
MTSS1,0,-2.69922738026538,0.335,0.735,0
PICALM,0,-4.19921539445443,0.055,0.454,0
DMXL1,0,-2.72717171466061,0.2,0.598,0
EIF3L,0,1.48113204459171,0.708,0.311,0
LY6E,0,1.94479943240411,0.568,0.171,0
LSP1,0,1.56878031899329,0.633,0.238,0
CORO1A,0,1.46097055038609,0.879,0.485,0
SNHG14,0,-13.5340291137808,0,0.394,0
BMP2K,0,-3.34105565572019,0.126,0.519,0
MAP3K5,0,-4.49292744621425,0.042,0.435,0
VTI1A,0,-3.61352035562884,0.092,0.485,0
BCAS3,0,-5.16561473336585,0.031,0.424,0
HERC1,0,-2.98316962935723,0.135,0.527,0
SLC9A7,0,-3.2070668225804,0.114,0.505,0
RAB11A,0,-2.67566514896318,0.279,0.67,0
MCTP2,0,-3.20083324817023,0.12,0.511,0
CCDC18-AS1,0,-13.5248836797933,0,0.391,0
MEF2A,0,-2.64153560752576,0.212,0.602,0
GRK3,0,-3.02645303022674,0.154,0.544,0
ZHX2,0,-3.60031975331237,0.081,0.471,0
ADAM19,0,-2.44603308875163,0.246,0.635,0
CUL3,0,-2.81524600174085,0.169,0.557,0
KLF12,0,-3.93520597595246,0.069,0.457,0
AC027097.2,0,-6.08693540167704,0.015,0.402,0
DYRK1A,0,-3.15059506946565,0.119,0.506,0
MBNL1,0,-2.87145399899525,0.573,0.958,0
RPS26,0,2.38212723220195,0.853,0.468,0
PPP6R3,0,-3.21811734741239,0.104,0.488,0
ATF7IP,0,-2.3901876543493,0.344,0.728,0
SMAP2,0,-2.24172598722679,0.467,0.85,0
IFNG-AS1,0,-5.1423460412199,0.044,0.424,0
RHBDD1,0,-3.94434958379233,0.068,0.446,0
ANKRD17,0,-3.38730744548767,0.104,0.48,0
POLR2J3.1,0,12.5106124164458,0.376,0,0
ST6GALNAC3,0,-6.3204571987843,0.013,0.388,0
MBD5,0,-3.33720894828613,0.13,0.505,0
ITFG1,0,-3.48220375678649,0.09,0.465,0
GPCPD1,0,-2.87579461957138,0.133,0.508,0
MAP3K1,0,-2.41880672404193,0.253,0.627,0
ATP8A1,0,-3.46564000458558,0.091,0.463,0
PIAS1,0,-2.69734240096652,0.185,0.556,0
PRKCB,0,-2.76282092240616,0.56,0.931,0
CDC42SE2,0,-2.36251110565624,0.379,0.749,0
UBB,0,1.53043481424563,0.941,0.571,0
RRAS2,0,-2.7286652794478,0.19,0.559,0
RESF1,0,-13.3796710072755,0,0.369,0
STEAP1B,0,-5.73991686243893,0.019,0.387,0
RAC2,0,1.25237883254556,0.734,0.366,0
USP3,0,-2.59176878264137,0.175,0.542,0
STIM1,0,-3.53908139175021,0.087,0.454,0
KCNH8,0,-4.7303136152853,0.042,0.408,0
AP3B1,0,-2.56162015632234,0.233,0.599,0
CCDC91,0,-2.80055851223129,0.191,0.556,0
NFKBIA,0,2.01944335986844,0.698,0.333,0
PDE4D,0,-5.32729360004478,0.038,0.402,0
NCF1,0,1.16864504888958,0.778,0.414,0
FAM96A,0,12.1542735558618,0.364,0,0
USP34,0,-2.35359351299434,0.25,0.613,0
TPD52,0,-2.35702220421077,0.417,0.779,0
PARP8,0,-3.23391961766876,0.11,0.472,0
TAPT1,0,-2.65528024344475,0.174,0.535,0
MT-ND6,0,-2.87221756664618,0.189,0.55,0
MINOS1,0,12.0874077052066,0.361,0,0
ANKHD1,0,-3.78123357448306,0.058,0.419,0
MTFR1,0,-5.73113078302498,0.015,0.376,0
STRBP,0,-2.25721066707736,0.382,0.743,0
TMA7,0,1.16709695743963,0.869,0.509,0
USP3-AS1,0,-7.47936478845922,0.005,0.365,0
RASA1,0,-4.21524715664141,0.045,0.404,0
TRAPPC9,0,-4.95086329757253,0.027,0.386,0
ERC1,0,-4.14010571284641,0.052,0.411,0
DYM,0,-3.40309691156027,0.085,0.444,0
TPK1,0,-3.95206971622087,0.065,0.423,0
ARHGAP24,0,-2.94436495501383,0.219,0.575,0
CYTH1,0,-2.35706258183008,0.276,0.632,0
PBX3,0,-4.44691443485802,0.046,0.4,0
ZEB1,0,-3.56556400185216,0.08,0.434,0
CBLB,0,-3.62873144802968,0.082,0.435,0
GLS,0,-2.53849776797419,0.193,0.545,0
ITPR2,0,-3.1002005761218,0.116,0.468,0
ASH1L,0,-2.22454682776458,0.273,0.625,0
LYST,0,-2.20079559988385,0.303,0.653,0
CELF2,0,-2.01328336828293,0.428,0.778,0
UST,0,-6.20935804545095,0.011,0.361,0
SLC35F1,0,-13.6391050986799,0,0.35,0
KCNQ5,0,-7.11977563246227,0.009,0.358,0
CPED1,0,-8.79636345794459,0.003,0.352,0
UBAC2,0,-2.55366352917517,0.18,0.528,0
UMAD1,0,-3.95002852517973,0.058,0.405,0
DOCK10,0,-3.53367839403252,0.09,0.437,0
COMMD10,0,-3.90955787476635,0.07,0.417,0
SMCHD1,0,-2.18637556876508,0.514,0.861,0
PHC3,0,-2.42426098883861,0.199,0.545,0
FBXW7,0,-3.62436480273463,0.081,0.426,0
NEDD9,0,-3.31071958540023,0.099,0.444,0
KIAA1551,0,12.2331399027296,0.344,0,0
MYCBP2-AS1,0,-13.3579460589943,0,0.343,0
CHD2,0,-2.17427672296797,0.309,0.651,0
CERT1,0,-13.2848440669576,0,0.342,0
NOP53,0,1.65329917817112,0.964,0.622,0
STIM2,0,-2.58155250484297,0.178,0.519,0
ENTPD1-AS1,0,-3.92975048662433,0.056,0.397,0
CCNI,0,1.15014971175512,0.89,0.549,0
TNKS,0,-3.79530587433851,0.059,0.399,0
VRK2,0,-3.66328347734746,0.073,0.412,0
DOCK11,0,-2.8262578838731,0.128,0.466,0
PHF21A,0,-3.08540130434208,0.115,0.453,0
ACAP2,0,-2.24175994912815,0.276,0.614,0
ATP11B,0,-3.53512330336964,0.067,0.403,0
COBLL1,0,-2.49898378136549,0.243,0.579,0
MBNL2,0,-3.24010709470123,0.094,0.43,0
LINC01004,0,-6.41563462572278,0.007,0.342,0
FUT8,0,-3.56196841918954,0.076,0.411,0
DENND5B,0,-3.79884990924159,0.064,0.398,0
LRCH1,0,-3.59024124896969,0.065,0.399,0
BRAF,0,-2.51913831883296,0.196,0.529,0
CEMIP2,0,-2.75810815697863,0.156,0.489,0
RNASEK,0,-2.91857929218003,0.095,0.428,0
RAB30,0,-2.3513412383011,0.211,0.543,0
NOTCH2,0,-3.04790291216702,0.105,0.437,0
SPPL3,0,-3.67692823986902,0.066,0.398,0
TENT2,0,-2.6175726044598,0.151,0.483,0
TSC22D3,0,1.81742446507787,0.911,0.581,0
CARD11,0,-3.4462980839172,0.074,0.404,0
HERC4,0,-2.57443513380411,0.17,0.5,0
USP25,0,-3.73177031408416,0.064,0.393,0
AC087854.1,0,-13.2698363311074,0,0.329,0
DENND1A,0,-5.33794609497197,0.019,0.348,0
LINC00513,0,-3.78977510511977,0.042,0.37,0
RIC1,0,-3.85073584122787,0.05,0.378,0
TNRC6B,0,-1.99574254023113,0.52,0.848,0
TANK,0,-2.20616615362066,0.284,0.611,0
SGMS1,0,-4.27950260776879,0.039,0.366,0
R3HDM2,0,-2.38450874045974,0.201,0.528,0
PTPRK,0,-3.48712366303246,0.082,0.409,0
EEF1G,0,-2.18309402915877,0.498,0.825,0
C12orf42,0,-3.2297990302692,0.088,0.415,0
ATP2B1,0,-2.0603299720656,0.346,0.672,0
KAT6A,0,-2.54689335843029,0.172,0.498,0
EEF2,0,1.71018808296519,0.968,0.642,0
PTBP2,0,-3.89865543196023,0.046,0.371,0
ERBIN,0,-2.41382126291475,0.189,0.514,0
DIAPH2,0,-3.6141612174352,0.079,0.404,0
MKLN1,0,-3.00143293713517,0.097,0.422,0
THADA,0,-3.77372639021097,0.053,0.376,0
EPB41,0,-2.24315569719012,0.251,0.574,0
ARID5B,0,-2.15269331106002,0.387,0.71,0
FBXO11,0,-2.9515608539452,0.128,0.449,0
CLASP2,0,-3.48655253200438,0.062,0.383,0
GSAP,0,-2.48023719138033,0.183,0.504,0
AC010894.3,0,-13.1102763433523,0,0.32,0
SEPT1,0,11.9731010830522,0.32,0,0
CASK,0,-4.84314333304319,0.026,0.346,0
IKZF3,0,-1.89078849955011,0.389,0.709,0
EPS15,0,-2.2855719925922,0.228,0.546,0
HIVEP2,0,-4.11998454819458,0.045,0.363,0
ZEB2,0,-2.12245518380046,0.296,0.613,0
ABHD15-AS1,0,-10.7323660335749,0,0.317,0
HEATR5B,0,-3.20829709208223,0.09,0.407,0
ITGA4,0,-2.06066652947831,0.311,0.627,0
SCFD2,0,-5.35055657516427,0.019,0.335,0
FRYL,0,-2.60500488025589,0.146,0.461,0
MEF2C-AS1,0,-4.17931148373671,0.05,0.365,0
RNF38,0,-3.45032693208771,0.071,0.386,0
NFKB1,0,-3.18034296369385,0.098,0.413,0
PELI1,0,-3.5651157242222,0.072,0.386,0
RAPGEF1,0,-3.16754183274754,0.086,0.399,0
RNF111,0,-3.50107698282315,0.066,0.379,0
TEX14,0,-10.9800089511523,0,0.313,0
CLASP1,0,-4.34978540222228,0.034,0.347,0
PPP3CC,0,-2.19054790264294,0.233,0.545,0
INVS,0,-5.55477319566217,0.019,0.331,0
PRDM2,0,-1.95818686483843,0.334,0.645,0
BICRAL,0,-3.8782693022996,0.049,0.36,0
DGKD,0,-2.04349314818981,0.266,0.577,0
ZNF148,0,-2.38351727719928,0.197,0.507,0
RALGPS2,0,-2.23710491105904,0.618,0.927,0
GMDS-DT,0,-4.63519674741172,0.034,0.343,0
AC108879.1,0,-6.81697731550841,0.009,0.318,0
FNDC3A,0,-3.58114549581075,0.07,0.379,0
CD79A,0,2.00698450154928,0.987,0.678,0
USP24,0,-3.07478704996492,0.096,0.404,0
SOS1,0,-3.28661132585109,0.086,0.394,0
RPS6KA5,0,-2.50459742227948,0.151,0.459,0
ITCH,0,-2.98231035203122,0.093,0.399,0
ELF1,0,-1.87642952906359,0.432,0.738,0
SLC12A6,0,-2.79657250320081,0.133,0.439,0
SNX9,0,-3.16012787766938,0.094,0.399,0
MYO1E,0,-3.75349798437148,0.064,0.369,0
ARHGAP17,0,-2.33173569427617,0.18,0.485,0
ZNF644,0,-2.25407143742562,0.21,0.514,0
GAB1,0,-4.58892227324969,0.034,0.338,0
RNF13,0,-2.4512246331604,0.181,0.485,0
CCNH,0,-2.85273307648426,0.114,0.418,0
ADAM28,0,-1.86643760983311,0.442,0.746,0
MON2,0,-3.21050542982436,0.082,0.386,0
MEF2C-AS2,0,-11.0403003031663,0,0.304,0
PDE7B,0,-5.33877040344075,0.018,0.321,0
SMAD3,0,-2.65570217488657,0.139,0.442,0
HLA-DMA,0,1.0064287782016,0.861,0.558,0
PDS5A,0,-2.54982436783655,0.149,0.451,0
L3MBTL4,0,-4.33047857523683,0.036,0.338,0
PPP3R1,0,-3.24793712033049,0.085,0.387,0
RPS6KA3,0,-2.71670859417295,0.131,0.433,0
ADARB1,0,-2.74566969994923,0.129,0.431,0
SEC24B,0,-4.18600184237626,0.035,0.336,0
FLI1,0,-2.10521359480334,0.242,0.543,0
SOS2,0,-3.38116931873159,0.07,0.371,0
C22orf34,0,-6.10558958103685,0.013,0.314,0
SENP6,0,-2.23252226084412,0.207,0.507,0
CCND3,0,-2.06003892727305,0.435,0.735,0
LINC02245,0,-4.33537271367931,0.031,0.33,0
ZSWIM6,0,-4.35585002110946,0.034,0.333,0
SCAF8,0,-3.36844117587912,0.069,0.368,0
HS2ST1,0,-4.0826643105128,0.056,0.354,0
