,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
COMMD3,2.35451875584894e-16,-0.50642172501538,0.206,0.264,8.11131711389961e-12
YME1L1,2.5599766530796e-16,-0.539556869458906,0.261,0.318,8.81911956985922e-12
AP2S1,3.15923850521926e-16,0.433764341261322,0.26,0.19,1.08835766504803e-11
ZNHIT1,3.26817461560057e-16,0.436730126466556,0.258,0.189,1.1258861550744e-11
S1PR4,3.73397497418288e-16,-0.509484542499477,0.267,0.321,1.286354378606e-11
ALKBH7,4.00980409234222e-16,0.449452923783365,0.264,0.194,1.38137750981189e-11
NDUFB7,4.59989654988945e-16,0.373533765434208,0.336,0.257,1.58466436143692e-11
IFI16,5.32609698901527e-16,-0.267360788961498,0.567,0.62,1.83484041271576e-11
NDUFA4,5.45028645621956e-16,0.256339107880456,0.637,0.56,1.87762368416764e-11
AL139020.1,7.53283183937604e-16,-0.495219402030194,0.213,0.273,2.59506056866505e-11
SNRPN,7.8010482647929e-16,0.342473225929628,0.354,0.272,2.68746112722116e-11
UBXN4,8.41480977975041e-16,-0.440097366300279,0.33,0.385,2.89890196912402e-11
PSMD7,1.35586276826067e-15,-0.433104959742492,0.193,0.252,4.67094723665802e-11
ARL6IP1,1.7529857890341e-15,0.402684121577856,0.329,0.257,6.03903604322248e-11
GHITM,1.8621300247229e-15,0.339863696856315,0.373,0.292,6.41503793517039e-11
SYF2,2.07570148726947e-15,0.307327940413347,0.547,0.479,7.15079162364333e-11
NBDY,2.77710752460842e-15,-0.50876656726776,0.23,0.285,9.567135422276e-11
LINC01215,2.81627181091431e-15,-0.502089436964748,0.22,0.277,9.70205638859978e-11
SPI1,3.63320495991106e-15,0.367160465781923,0.267,0.198,1.25163910868936e-10
PTPN2,4.593765610277e-15,-0.442757768626129,0.262,0.32,1.58255225274043e-10
GCA,5.20106046045733e-15,-0.556307153379711,0.198,0.25,1.79176532862755e-10
G3BP2,5.93494992211375e-15,-0.472195800330267,0.252,0.307,2.04459024816819e-10
ATF7IP2,6.36107241777888e-15,-0.512488319071293,0.208,0.263,2.19138944792482e-10
OSTF1,6.44329974492368e-15,-0.397549917099341,0.366,0.414,2.21971676212621e-10
UPF2,6.47479430162383e-15,0.315935353593381,0.361,0.285,2.23056663690941e-10
RBMX,6.54659389036448e-15,0.286552761314699,0.512,0.433,2.25530159523056e-10
BRD4,7.93872596185378e-15,-0.459711225097403,0.268,0.326,2.73489109385863e-10
BNIP3L,7.94490374750221e-15,-0.533585740805368,0.221,0.275,2.73701934101451e-10
GNAI2,8.06681342150619e-15,-0.304110913842559,0.358,0.418,2.77901722370888e-10
HNRNPUL1,1.343405918185e-14,0.413429446478154,0.258,0.194,4.62803338814733e-10
RAB14,1.35467204317451e-14,-0.508915259006876,0.203,0.257,4.6668451887362e-10
CCDC85B,1.38377993483238e-14,0.371684491560626,0.333,0.26,4.76712187549754e-10
RPA3,1.40517913216868e-14,-0.422611067139125,0.259,0.315,4.84084211032111e-10
EIF4H,1.76996160724399e-14,0.347544858319948,0.302,0.233,6.09751773695554e-10
RTF1,1.91376997570451e-14,0.367305266801476,0.318,0.249,6.59293756630205e-10
APPL1,1.94458690479481e-14,-0.297948149200844,0.374,0.432,6.69910188701812e-10
CHMP4A,2.55515161375966e-14,0.33862016881262,0.365,0.292,8.80249730940203e-10
SAP18,2.8966307257613e-14,0.253141035754119,0.596,0.517,9.97889285024767e-10
APEX1,2.95877742113938e-14,0.329605850132777,0.387,0.312,1.01929882158252e-09
SNX10,3.05416001495845e-14,-0.463064382702606,0.302,0.352,1.05215812515319e-09
VDAC2,3.12522531758494e-14,0.331559874337146,0.355,0.28,1.07664012190801e-09
IGLC2,3.34609226287586e-14,0.40190777712176,0.59,0.522,1.15272878456073e-09
RTN4,3.49164101045526e-14,-0.570333759132504,0.219,0.268,1.20287032810184e-09
COX7B,3.66645565804766e-14,0.295440353103359,0.456,0.375,1.26309397419742e-09
DGUOK,4.4685645226492e-14,-0.423933677950421,0.29,0.342,1.53942047805265e-09
DNAJC15,4.5634113491197e-14,-0.361437020068456,0.317,0.37,1.57209520977174e-09
CCDC50,5.11212528724903e-14,-0.388626130088069,0.244,0.298,1.76112716145729e-09
NUCKS1,5.65987516726005e-14,-0.283803776304812,0.429,0.487,1.94982699512109e-09
RALY,5.85088299599551e-14,-0.421792609813155,0.314,0.365,2.01562919212045e-09
TRAPPC1,6.31533055397786e-14,0.280444118938602,0.459,0.38,2.17563137584537e-09
DDX46,6.31885467782386e-14,0.318418793294853,0.375,0.3,2.17684543651032e-09
IER5,6.66957288188945e-14,-0.41284004182401,0.225,0.281,2.29766785781092e-09
PSMC6,7.9705992687085e-14,-0.344092477399056,0.349,0.407,2.74587144807008e-09
TMEM256,9.78315971839089e-14,0.293443780170179,0.359,0.285,3.37029852298566e-09
RBM17,1.18328048653166e-13,0.386732191274199,0.287,0.223,4.07640127610155e-09
HSD17B11,1.28723619382924e-13,0.318968806585354,0.342,0.271,4.43452868774172e-09
DNAJC10,1.37912490770825e-13,-0.405207613496072,0.279,0.332,4.75108530705491e-09
PSMA5,1.63828336012315e-13,-0.454592745588315,0.203,0.254,5.64388617562425e-09
CAST,1.76251050690989e-13,-0.296043793930165,0.406,0.458,6.07184869630458e-09
FNIP1,1.78402742116323e-13,-0.538342877218447,0.316,0.355,6.14597446590734e-09
SELENOT,1.96419236369459e-13,-0.338170739679422,0.312,0.363,6.76664269292787e-09
RNF141,1.98129149895049e-13,-0.420802082051004,0.213,0.265,6.82554921388444e-09
SLC25A3,2.22533763056974e-13,0.2551646952791,0.532,0.46,7.66628813731276e-09
EIF5,2.26032969386501e-13,-0.310932971354062,0.401,0.451,7.78683579536498e-09
COPE,3.35789989618618e-13,0.298224322593063,0.442,0.365,1.15679651423614e-08
NDUFB10,3.90527575180625e-13,0.343045410051055,0.358,0.287,1.34536749649725e-08
PNKD,3.98049527479687e-13,0.402026814013476,0.253,0.192,1.37128062216752e-08
SF3B5,4.06894906899143e-13,0.290989182482156,0.46,0.384,1.40175295426755e-08
POLR2J,4.12056410785903e-13,0.328386231843897,0.312,0.244,1.41953433515744e-08
XRN2,5.22016535813124e-13,-0.42736277783044,0.227,0.277,1.79834696587621e-08
HSPA4,8.16105747370184e-13,-0.397120744031922,0.234,0.287,2.81148429969028e-08
LCP1,9.15998565842251e-13,-0.26979870477805,0.46,0.507,3.15561505932655e-08
PKIG,1.21482751106583e-12,-0.345192939982081,0.389,0.439,4.18508077562178e-08
ADD3,1.26713372782624e-12,-0.354954767546374,0.412,0.455,4.36527569236141e-08
ATP5IF1,1.9632291558211e-12,0.254716662603558,0.494,0.421,6.7633244418037e-08
ATRX,2.26738772171473e-12,-0.262066289073108,0.483,0.53,7.81115070130724e-08
RSBN1L,2.33561791099966e-12,-0.371272697476946,0.3,0.351,8.04620370339384e-08
MOB1A,2.3839075795326e-12,-0.264054740941289,0.412,0.463,8.21256161148982e-08
MIS18BP1,3.00764199009475e-12,-0.368790805321069,0.351,0.398,1.03613266558764e-07
SNRPG,3.84158046268911e-12,-0.259765453521307,0.416,0.464,1.3234244693964e-07
RGS19,4.10959144160489e-12,0.297075515179184,0.359,0.29,1.41575425163288e-07
CACYBP,4.45189293987881e-12,0.391707839370998,0.264,0.205,1.53367711778825e-07
STMP1,4.51855055521082e-12,0.315423290316302,0.312,0.248,1.55664066627013e-07
XRCC6,4.65994918132412e-12,0.25938652212718,0.393,0.321,1.60535249296616e-07
CHMP3,4.74119271960347e-12,-0.460083440012235,0.221,0.269,1.6333408919034e-07
MRPL52,5.37141792469537e-12,0.289857347136167,0.352,0.284,1.85045347505756e-07
LAIR1,5.39801394828057e-12,0.32379598493636,0.274,0.212,1.85961580518266e-07
