,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ZNF431,1.33516172924007e-51,-1.25840723436435,0.15,0.295,4.59963215723203e-47
MT-ND1,1.37977296142886e-51,0.346874951461495,0.998,0.995,4.75331785212243e-47
CYFIP2,2.95575542419652e-51,-1.02072937205494,0.296,0.447,1.0182577436357e-46
COX6C,3.18274532580622e-51,0.421267996643323,0.849,0.732,1.09645576474024e-46
PJA2,4.27211930206509e-51,-1.08887081880815,0.294,0.439,1.47174509956142e-46
CYB5R4,4.76548022103952e-51,-1.09481764257125,0.26,0.406,1.64170793614811e-46
DECR1,4.87035523286082e-51,-1.04266713616553,0.301,0.442,1.67783737772055e-46
NGLY1,5.8049833163944e-51,-1.02728855888503,0.321,0.462,1.99981675249787e-46
COMMD6,6.39723355849813e-51,0.319099569955758,0.948,0.902,2.20384696090261e-46
ZNF280D,6.44781740075774e-51,-1.37857084564907,0.146,0.287,2.22127309456104e-46
HSP90AB1,8.10558947242177e-51,0.42918692702976,0.891,0.81,2.7923755732493e-46
CRLF3,8.27335993173055e-51,-1.24115081945236,0.195,0.342,2.85017249648117e-46
NLRP1,9.38974202506356e-51,-1.48658969674377,0.163,0.302,3.2347661276344e-46
SHOC2,9.92991314303904e-51,-0.91950804934792,0.391,0.525,3.42085507777695e-46
TAP1,1.00088701726486e-50,0.912584493278879,0.379,0.199,3.44805577447745e-46
NAMPT,1.13337809402117e-50,-1.61110284206056,0.152,0.288,3.90448753390294e-46
IL16,1.23025122413701e-50,0.865248660427417,0.435,0.249,4.23821546715199e-46
MIF,1.24703119448849e-50,-0.537726414982358,0.711,0.796,4.29602246501284e-46
PTK2B,1.90603309048542e-50,-1.04539639448039,0.299,0.442,6.56628399672226e-46
ZNF652,2.6333509359727e-50,-1.24194733909444,0.216,0.363,9.07189397442596e-46
CCNK,2.9491294744296e-50,-1.21062854907438,0.172,0.318,1.015975103941e-45
CD27,3.62777919813005e-50,0.832475837505804,0.499,0.319,1.2497699337558e-45
NFATC3,5.1200575640303e-50,-1.49184138165015,0.187,0.327,1.76385983080844e-45
LDHA,5.96443054793557e-50,0.775322316007459,0.502,0.319,2.0547463237638e-45
GOLGA4,7.80489486050916e-50,-1.07516312277863,0.27,0.419,2.68878627944541e-45
RGS2,8.99696680043191e-50,1.80781990157824,0.276,0.127,3.09945506274879e-45
PPIP5K2,2.82490277958924e-49,-1.35573918978974,0.139,0.275,9.73179007568493e-45
MOB4,4.01759936420507e-49,-1.20164810227433,0.206,0.348,1.38406298096864e-44
TNPO3,4.06218119602218e-49,-1.43403414340682,0.127,0.259,1.39942142202964e-44
PHF3,6.060314441577e-49,-0.919041989502517,0.349,0.491,2.08777832512328e-44
ECH1,7.34292973334919e-49,0.760702132576099,0.491,0.303,2.5296392931388e-44
CD24,8.64831675565486e-49,0.61280261958089,0.64,0.462,2.9793451223231e-44
TUBA1A,9.7823833383709e-49,0.688297341568037,0.609,0.427,3.37003106006877e-44
ATP5MD,2.33880926797486e-48,0.525991266074121,0.702,0.53,8.0571979281734e-44
CIR1,2.53330497651487e-48,-1.02575870313425,0.333,0.47,8.72723564409371e-44
COX8A,2.79581492411215e-48,0.516736609634992,0.681,0.499,9.63158241356634e-44
AC114760.2,3.5445693195974e-48,1.23112342819258,0.324,0.167,1.2211041306013e-43
NPEPPS,3.77629012344427e-48,-1.33419416855993,0.16,0.297,1.30093194752655e-43
